"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2","TransMean","P","reldens2"
"TunBirths",1,0.902466270280804,1.10246627321678,1,0,383.970427816708,383.970427816708,0,1,0
"TunMubt",1,0.902466270280804,1.10246627321678,1,0,383.970427816708,383.970427816708,0,1,0
"RRmuIn",0.5,0.28102327626157,0.781023175660885,1,1,15.1912559371283,30.3825118742567,-0.693147180559945,0.497320966649964,0.01
"muIp",0.05,0.00740650163654984,0.132406489236065,1,1,2.2925173163123,45.850346326246,-2.99573227355399,0.0177717164653954,0.14
"muTbH",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341,0.158095471782539,0.06
"TunmuHvAg",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751,-2.30258509299405,0.0849761845207384,0.08
"TunmuTbAg",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495335,-0.693147180559945,0.46788611350293,0.04
"muH1",0.01,0.00148129988482694,0.0264812999341684,1,1,2.29251682170984,229.251682170984,-4.60517018598809,0.000806829725739322,-1.15
"muH2",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751,-2.30258509299405,0.188934019305854,-2.32
"muT2",0.01,0.00148129988482694,0.0264812999341684,1,1,2.29251682170984,229.251682170984,-4.60517018598809,0.000214312852176684,-2.72
"RRmuHR",3.4,2.26371731808846,4.76371741237333,1,1,28.2456265141042,8.30753721003063,1.22377543162212,3.02964227814296,-0.07
"ImmigVol",1,0.489595255730257,1.68959421414338,1,1,10.4966121525241,10.4966121525241,0,1.30671672835304,-0.68
"ImmigVolFut",0,-0.00999981624765334,0.00999981624765334,2,0,0,0.00510204081632653,0,0,0
"ImDxChng",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843,0,0.628271146942329,-0.15
"RRtbprev",1,0.0393606301228821,3.45934916258003,1,1,1.16317788633529,1.16317788633529,0,6.01940150358857,-5.55
"LtbiPar1",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341,0.12413902935517,-0.17
"LtbiPar2",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495335,-0.693147180559945,1.21871955601454,-6.63
"pImAct",0.25,0.0876008004326897,0.462600799067147,0,1,4.69029896714751,14.0708969014425,-1.09861228866811,0.584311535671922,-4.58
"TunLtbiTrend",0.6,0.151474056900893,1.35147411037636,1,1,3.67092508297762,6.11820847162937,-0.510825623765991,1.91723125966938,-4.96
"ImmigPrevFutLat",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063,0.98,0
"ImmigPrevFutAct",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063,0.98,0
"TunImmDr",1,0.809873023606969,1.20987304079851,1,1,95.8611158566946,95.8611158566946,0,0.941968354468013,-0.11
"TunImmDrFut",1,0.990024656140345,1.01002465614117,1,0,38414.4127295606,38414.4127295606,0,1,0
"ExogInf",5e-05,1.51849469700998e-05,0.000105184947226647,1,1,4.57077307370447,91415.4614740895,-9.90348755253613,5.83604887988616e-05,-0.21
"rEmmigF1",0.05,0.031980878278332,0.0719808785531924,1,1,23.8341871704041,476.683743408082,-2.99573227355399,0.0483244850905561,0.02
"rEmmigF2",0.003,0.00208243082210859,0.00408243082861735,1,1,34.3980235734778,11466.0078578259,-5.80914299031403,0.00295694433936616,0.01
"pHR",0.005,0.00195050540541324,0.00945050540915038,0,1,6.61748158531679,1316.87883547804,-5.29330482472449,0.00542913164571742,-0.11
"HivInc",1,0.562046660366717,1.56204617167027,1,1,15.1912647717684,15.1912647717684,0,0.817617019239142,-0.09
"HivIncFut",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063,0.98,0
"HivHrPar",2,1.1240929100373,3.1240930274998,1,1,15.1912479494812,7.59562397474062,0.693147180559945,1.85657777504331,0.03
"rH1toH2",0.3,0.133252132132334,0.533252134599756,1,1,8.46954018307854,28.2318006102618,-1.20397280432594,0.0878614680057027,-3.18
"rT1toT2",0.023,0.00605208836685244,0.0510520884307592,1,1,3.84326151982266,167.098326948811,-3.77226106305299,0.0167966680130171,0.14
"TunHIVProgAg",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341,0.0558685341457875,-2.42
"ArtTbEff1",0.57,0.416713129440498,0.71671311494016,0,1,23.0130187132188,17.3606983275159,0.281851152140987,0.575703678746797,0
"ArtTbEff2",0.75,0.565930987895314,0.895931002481297,0,1,18.5597203767463,6.18657345891544,1.09861228866811,0.874931329821785,-0.89
"TbHivEarly",0.19,0.0543468589701533,0.384346877978995,0,1,3.76227599180761,16.0391765966535,-1.450010175506,0.384331804156395,-2.18
"CR",10,5.62044879862029,15.620491377322,1,1,15.1911189121333,1.51911189121333,2.30258509299405,10.7781831923243,-0.12
"Early0",0.5,0.15184954012896,1.05184928162351,1,1,4.57077582225242,9.14155164450484,-0.693147180559945,0.110438064847877,-1.83
"TrIn",0.23,0.113248185639959,0.3732481754827,0,1,8.85756650753666,29.6535922208836,-1.20831120592453,0.261919426460198,-0.19
"RelCrHr",3,1.68613836467279,4.68614120774134,1,1,15.1912206321218,5.06374021070726,1.09861228866811,2.96430871250714,0.01
"sigmaHiv",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0,0.771355700287395,-0.38
"sigmaHr",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0,0.718677879233728,-0.23
"sigmaFb",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0,0.183270361565177,-0.56
"TunRelFit",1,0.148131600907635,2.64812238850391,1,1,2.29253484524777,2.29253484524777,0,0.119146006901581,-0.73
"pfast",0.064,0.00356154120331806,0.200561484697816,0,1,1.30367344334469,19.0662241089161,-2.68273239311792,0.0757396845751731,-0.18
"pimmed",0.25,0.050587279773083,0.540587305904421,0,1,2.55519751416783,7.66559254250349,-1.09861228866811,0.253958945356486,-0.01
"ORpfast1",2.5,0.81427964998191,5.11428214094487,1,1,5.02177267330843,2.00870906932337,0.916290731874155,5.12413473166634,-2.38
"ORpfast2",0.5,0.180172910118262,0.980172790625303,1,1,5.82953003922563,11.6590600784513,-0.693147180559945,0.191698287445446,-1.04
"ORpfastH",10,3.90678333636268,18.9067496733717,1,1,6.65612936255651,0.665612936255651,2.30258509299405,12.5492432829975,-0.41
"ORpfastPI",0.21,0.0805002847893418,0.400500355795249,1,1,6.4444419110023,30.6878186238205,-1.56064774826467,0.200829314009672,0.04
"rslow",0.00067,5.72468333310256e-05,0.0020172468330425,1,1,1.63540882673295,2440.90869661634,-7.30823284557926,0.000476711658595261,0.26
"rslowH",0.042,0.00732836871893207,0.106328374538968,1,1,2.59802219398542,61.8576712853672,-3.17008566069877,0.0189191773081187,0.15
"rrSlowFB",1.2,0.962856678356729,1.46285668117573,1,1,88.331874965377,73.6098958044808,0.182321556793955,1.01258534119445,-1.03
"TunrslowAge",0.2,0.0944580687005136,0.344458061046109,1,1,9.66014581480608,48.3007290740304,-1.6094379124341,0.17437867240024,0.05
"rfast",0.55,0.189400083611475,1.09940013407782,1,1,5.44054183613547,9.89189424751904,-0.59783700075562,0.45178034257472,0.1
"rRecov",0.03,0.0102259922749656,0.0602259909113412,1,1,5.35925205429627,178.641735143209,-3.50655789731998,0.0138587350071276,-0.48
"pSmPos",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0,0.432949385300344,-0.11
"ORpSmPos1",0.07,0.0153430020035041,0.165343023204748,1,1,3.17686679567911,45.3838113668444,-2.65926003693278,0.0499847758249049,0.18
"ORpSmPosH",0.28,0.139190938168379,0.46919097516791,1,1,10.8880892530441,38.8860330465859,-1.27296567581289,0.27793009512034,0.01
"rSlfCur",0.2,0.112409299741664,0.312409288193867,1,1,15.1912515285739,75.9562576428693,-1.6094379124341,0.130054943933048,-0.79
"rSmConv",0.15,0.0570628259833457,0.287062848010006,1,1,6.36253180661865,42.416878710791,-1.89711998488588,0.110084225415962,0.03
"rLtScr",0.025,0.000713006611662098,0.0907130113767447,1,1,1.03924185938663,41.569674375465,-3.68887945411394,0.0457832601053567,-0.84
"SensLt",0.8,0.753117054593602,0.843117065090707,0,1,241.362125221546,60.3405313053865,1.38629436111989,0.813108625146347,-0.12
"rrSensLtHiv",0.85,0.767219159642989,0.917219140168941,0,1,72.2209448522882,12.744872620992,1.73460105538811,0.865689155349882,0.01
"SpecLt",0.975,0.964033642453896,0.984033638025269,0,1,905.246771502164,23.2114556795427,3.66356164612965,0.991278440517484,-8.42
"rrTestHr",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741,1.09861228866811,3.28632390603404,-0.12
"rrTestHiv",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741,1.09861228866811,4.54054491973282,-1.07
"rrTestLrNoTb",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341,0.162999192031946,0.07
"pDefLt",0.33,0.290608403041522,0.370608402988645,0,1,174.677682923762,354.648628966425,-0.708185057924485,0.330327049316462,0
"EffLt",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926757,5.87943219918618,2.19722457733622,0.913202223888094,0.07
"SensSn",0.95,0.895212689017854,0.985212657844371,0,1,81.4700349192273,4.28789657469618,2.94443897916644,0.966766577419953,0.06
"SensSp",0.995,0.989485271263128,0.998485267105059,0,1,903.979219954568,4.54260914550034,5.29330482472449,0.996111007778923,0.12
"pImmScen",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0,0.614471856581369,-0.32
"DelaySn",1.5,0.999901434256961,2.09990102295297,1,1,28.3978327076109,18.9318884717406,0.405465108108164,1.23813646304733,-0.3
"DelaySp",0.6,0.375801866060039,0.875801786080502,1,1,21.9519300634154,36.5865501056924,-0.510825623765991,0.546357247984719,0
"Dx1",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,0.743134810592423,-1.06
"Dx2",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,-0.45433218881357,-0.4
"Dx3",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,0.1820585352188,-0.06
"Dx4",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,0.780311087439428,-1.17
"Dx5",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0,-0.0224790398091663,0
"rrDxH",3,2.08243060519417,4.082431131473,1,1,34.3980056036092,11.4660018678697,1.09861228866811,2.366409916484,-0.66
"TunRRdxAge",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843,0,0.510400880814976,-0.55
"pDst",0.8,0.69048978424695,0.890489750317982,0,1,47.7010704691515,11.9252676172879,1.38629436111989,0.825309013588533,-0.02
"TunTxMort",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0,0.200135334156263,-1.58
"pCurPs",0.96,0.93761328174069,0.977613272271258,0,1,348.969424801689,14.5403927000704,3.17805383034794,0.962326801839938,0.03
"TxEf1",0.9,0.818922535838297,0.958922657439777,0,1,61.0985369569736,6.78872632855262,2.19722457733622,0.915327402650128,0.05
"TxEf2",0.5,0.349999997750302,0.650000002249698,0,1,20.6124812994715,20.6124812994715,0,0.517125100943457,-0.02
"TxEf3",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926757,5.87943219918618,2.19722457733622,0.919707244146149,0.05
"TxDefEarly",0.1,0.0148130052557107,0.264812969121218,1,1,2.29251753792631,22.9251753792631,-2.30258509299405,0.145597304177462,-0.56
"TunTxDef",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0,0.88924287032796,-0.22
"RRdefHR",2,1.20039302070409,3.00039217308983,1,1,18.7954139569188,9.39770697845939,0.693147180559945,1.8038382977145,0.01
"TxQualEarly",0.85,0.752901795865771,0.952901795935996,1,1,277.369968824923,326.317610382263,-0.162518929497775,0.767269157099508,-1.3
"TunTxQual",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616,0,1.18737188977906,-0.96
"RRcurDef",0.25,0.090086464982003,0.490086371785787,1,1,5.8295310425168,23.3181241700672,-1.38629436111989,0.254415033031596,-0.02
"pReTx",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165,0,0.607165429013774,-0.17
"pAR1",0.13,0.05016859659151,0.240168614070062,0,1,5.96121774896631,39.8943033969284,-1.90095876119305,0.119797509976668,0.05
"pAR2",0.08,0.0243705874803054,0.164370586312856,0,1,4.36943267567925,50.2484757703114,-2.4423470353692,0.0529659426149233,0.04
"pAR3",0.07,0.0193621854638949,0.149362192630841,0,1,3.90696825845153,51.9068640051418,-2.58668934409794,0.0219110895885406,-0.81
"pAR4",0.49,0.24136973182313,0.741369356020537,0,1,6.77445362086017,7.05096193191569,-0.0400053346136992,0.401300138034522,-0.18
"pAR5",0.2,0.0863929735086577,0.346392905322219,0,1,6.90350173944683,27.6140069577873,-1.38629436111989,0.174352515610598,0.03
"fAR",2,0.781354545769001,3.78135465748931,1,1,6.65609821456728,3.32804910728364,0.693147180559945,2.09192750168781,-0.05
"rArtInit15",2,0.781354545769001,3.78135465748931,1,1,6.65609821456728,3.32804910728364,0.693147180559945,2.5548823533216,-0.46
"rrArtInitL",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751,-2.30258509299405,0.031484738576173,-1.98
"rrArtInitHR",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341,0.220683789155166,-0.13
"r_ArtLtfu",0.15,0.0511299551872382,0.301129969874406,1,1,5.35925110328567,35.7283406885711,-1.89711998488588,0.0154995834471749,-5.09
