RACE_HISP,SEX,YEAR,TOTAL_NIM
0,0,2023,853220
0,0,2024,855072
0,0,2025,857704
0,0,2026,864765
0,0,2027,870593
0,0,2028,874210
0,0,2029,877563
0,0,2030,878684
0,0,2031,876556
0,0,2032,870256
0,0,2033,876378
0,0,2034,882251
0,0,2035,887842
0,0,2036,893156
0,0,2037,898196
0,0,2038,903017
0,0,2039,907659
0,0,2040,912156
0,0,2041,915545
0,0,2042,918835
0,0,2043,922069
0,0,2044,925181
0,0,2045,928110
0,0,2046,930865
0,0,2047,933422
0,0,2048,935900
0,0,2049,938213
0,0,2050,940353
0,0,2051,942366
0,0,2052,944218
0,0,2053,945935
0,0,2054,947513
0,0,2055,949030
0,0,2056,950522
0,0,2057,952011
0,0,2058,953476
0,0,2059,954852
0,0,2060,956143
0,0,2061,958131
0,0,2062,959974
0,0,2063,961685
0,0,2064,963272
0,0,2065,964740
0,0,2066,966119
0,0,2067,967408
0,0,2068,968631
0,0,2069,969793
0,0,2070,970875
0,0,2071,971887
0,0,2072,972805
0,0,2073,973599
0,0,2074,974276
0,0,2075,974847
0,0,2076,975320
0,0,2077,975660
0,0,2078,975858
0,0,2079,975881
0,0,2080,975728
0,0,2081,975401
0,0,2082,974871
0,0,2083,974165
0,0,2084,973285
0,0,2085,972253
0,0,2086,971110
0,0,2087,969859
0,0,2088,968487
0,0,2089,967005
0,0,2090,965419
0,0,2091,963735
0,0,2092,961941
0,0,2093,960046
0,0,2094,958048
0,0,2095,955948
0,0,2096,953743
0,0,2097,951433
0,0,2098,949015
0,0,2099,946488
0,0,2100,943853
0,1,2023,395915
0,1,2024,396731
0,1,2025,398240
0,1,2026,401994
0,1,2027,404973
0,1,2028,406738
0,1,2029,408296
0,1,2030,408593
0,1,2031,407185
0,1,2032,403635
0,1,2033,406374
0,1,2034,408958
0,1,2035,411332
0,1,2036,413574
0,1,2037,415668
0,1,2038,417603
0,1,2039,419489
0,1,2040,421275
0,1,2041,422521
0,1,2042,423718
0,1,2043,424914
0,1,2044,426033
0,1,2045,427112
0,1,2046,428060
0,1,2047,428964
0,1,2048,429781
0,1,2049,430561
0,1,2050,431233
0,1,2051,431862
0,1,2052,432389
0,1,2053,432885
0,1,2054,433331
0,1,2055,433728
0,1,2056,434127
0,1,2057,434558
0,1,2058,434936
0,1,2059,435339
0,1,2060,435701
0,1,2061,436409
0,1,2062,437083
0,1,2063,437662
0,1,2064,438202
0,1,2065,438700
0,1,2066,439138
0,1,2067,439517
0,1,2068,439843
0,1,2069,440137
0,1,2070,440370
0,1,2071,440578
0,1,2072,440746
0,1,2073,440846
0,1,2074,440878
0,1,2075,440849
0,1,2076,440787
0,1,2077,440637
0,1,2078,440404
0,1,2079,440093
0,1,2080,439692
0,1,2081,439203
0,1,2082,438618
0,1,2083,437925
0,1,2084,437156
0,1,2085,436283
0,1,2086,435378
0,1,2087,434377
0,1,2088,433313
0,1,2089,432162
0,1,2090,430980
0,1,2091,429729
0,1,2092,428420
0,1,2093,427040
0,1,2094,425614
0,1,2095,424115
0,1,2096,422585
0,1,2097,420974
0,1,2098,419304
0,1,2099,417601
0,1,2100,415833
0,2,2023,457305
0,2,2024,458341
0,2,2025,459464
0,2,2026,462771
0,2,2027,465620
0,2,2028,467472
0,2,2029,469267
0,2,2030,470091
0,2,2031,469371
0,2,2032,466621
0,2,2033,470004
0,2,2034,473293
0,2,2035,476510
0,2,2036,479582
0,2,2037,482528
0,2,2038,485414
0,2,2039,488170
0,2,2040,490881
0,2,2041,493024
0,2,2042,495117
0,2,2043,497155
0,2,2044,499148
0,2,2045,500998
0,2,2046,502805
0,2,2047,504458
0,2,2048,506119
0,2,2049,507652
0,2,2050,509120
0,2,2051,510504
0,2,2052,511829
0,2,2053,513050
0,2,2054,514182
0,2,2055,515302
0,2,2056,516395
0,2,2057,517453
0,2,2058,518540
0,2,2059,519513
0,2,2060,520442
0,2,2061,521722
0,2,2062,522891
0,2,2063,524023
0,2,2064,525070
0,2,2065,526040
0,2,2066,526981
0,2,2067,527891
0,2,2068,528788
0,2,2069,529656
0,2,2070,530505
0,2,2071,531309
0,2,2072,532059
0,2,2073,532753
0,2,2074,533398
0,2,2075,533998
0,2,2076,534533
0,2,2077,535023
0,2,2078,535454
0,2,2079,535788
0,2,2080,536036
0,2,2081,536198
0,2,2082,536253
0,2,2083,536240
0,2,2084,536129
0,2,2085,535970
0,2,2086,535732
0,2,2087,535482
0,2,2088,535174
0,2,2089,534843
0,2,2090,534439
0,2,2091,534006
0,2,2092,533521
0,2,2093,533006
0,2,2094,532434
0,2,2095,531833
0,2,2096,531158
0,2,2097,530459
0,2,2098,529711
0,2,2099,528887
0,2,2100,528020
1,0,2023,444233
1,0,2024,441189
1,0,2025,438500
1,0,2026,439147
1,0,2027,439802
1,0,2028,439930
1,0,2029,439678
1,0,2030,439446
1,0,2031,438742
1,0,2032,436668
1,0,2033,438659
1,0,2034,440484
1,0,2035,442150
1,0,2036,443629
1,0,2037,444931
1,0,2038,446065
1,0,2039,447008
1,0,2040,447835
1,0,2041,447741
1,0,2042,447561
1,0,2043,447319
1,0,2044,446987
1,0,2045,446570
1,0,2046,446075
1,0,2047,445446
1,0,2048,444841
1,0,2049,444130
1,0,2050,443308
1,0,2051,442437
1,0,2052,441469
1,0,2053,440424
1,0,2054,439236
1,0,2055,438054
1,0,2056,436823
1,0,2057,435546
1,0,2058,434294
1,0,2059,433005
1,0,2060,431634
1,1,2023,214223
1,1,2024,212736
1,1,2025,211619
1,1,2026,212125
1,1,2027,212523
1,1,2028,212591
1,1,2029,212508
1,1,2030,212390
1,1,2031,211978
1,1,2032,210792
1,1,2033,211819
1,1,2034,212741
1,1,2035,213521
1,1,2036,214241
1,1,2037,214849
1,1,2038,215308
1,1,2039,215721
1,1,2040,216061
1,1,2041,215921
1,1,2042,215765
1,1,2043,215561
1,1,2044,215329
1,1,2045,215071
1,1,2046,214784
1,1,2047,214425
1,1,2048,214054
1,1,2049,213677
1,1,2050,213231
1,1,2051,212776
1,1,2052,212297
1,1,2053,211786
1,1,2054,211205
1,1,2055,210608
1,1,2056,210013
1,1,2057,209371
1,1,2058,208754
1,1,2059,208145
1,1,2060,207487
1,2,2023,230010
1,2,2024,228453
1,2,2025,226881
1,2,2026,227022
1,2,2027,227279
1,2,2028,227339
1,2,2029,227170
1,2,2030,227056
1,2,2031,226764
1,2,2032,225876
1,2,2033,226840
1,2,2034,227743
1,2,2035,228629
1,2,2036,229388
1,2,2037,230082
1,2,2038,230757
1,2,2039,231287
1,2,2040,231774
1,2,2041,231820
1,2,2042,231796
1,2,2043,231758
1,2,2044,231658
1,2,2045,231499
1,2,2046,231291
1,2,2047,231021
1,2,2048,230787
1,2,2049,230453
1,2,2050,230077
1,2,2051,229661
1,2,2052,229172
1,2,2053,228638
1,2,2054,228031
1,2,2055,227446
1,2,2056,226810
1,2,2057,226175
1,2,2058,225540
1,2,2059,224860
1,2,2060,224147
2,0,2023,90203
2,0,2024,93769
2,0,2025,97263
2,0,2026,101475
2,0,2027,105590
2,0,2028,108926
2,0,2029,111892
2,0,2030,114141
2,0,2031,115867
2,0,2032,116948
2,0,2033,120091
2,0,2034,123214
2,0,2035,126373
2,0,2036,129526
2,0,2037,132650
2,0,2038,135825
2,0,2039,138959
2,0,2040,142118
2,0,2041,145271
2,0,2042,148407
2,0,2043,151587
2,0,2044,154804
2,0,2045,158016
2,0,2046,161258
2,0,2047,164520
2,0,2048,167759
2,0,2049,170997
2,0,2050,174318
2,0,2051,177630
2,0,2052,180883
2,0,2053,184233
2,0,2054,187568
2,0,2055,190972
2,0,2056,194385
2,0,2057,197815
2,0,2058,201312
2,0,2059,204781
2,0,2060,208264
2,1,2023,40603
2,1,2024,42262
2,1,2025,43892
2,1,2026,45932
2,1,2027,47963
2,1,2028,49579
2,1,2029,50899
2,1,2030,51798
2,1,2031,52441
2,1,2032,52789
2,1,2033,54161
2,1,2034,55520
2,1,2035,56885
2,1,2036,58248
2,1,2037,59585
2,1,2038,60943
2,1,2039,62306
2,1,2040,63641
2,1,2041,64986
2,1,2042,66313
2,1,2043,67667
2,1,2044,69028
2,1,2045,70370
2,1,2046,71759
2,1,2047,73125
2,1,2048,74488
2,1,2049,75866
2,1,2050,77251
2,1,2051,78642
2,1,2052,79984
2,1,2053,81366
2,1,2054,82757
2,1,2055,84136
2,1,2056,85566
2,1,2057,86960
2,1,2058,88423
2,1,2059,89844
2,1,2060,91257
2,2,2023,49600
2,2,2024,51507
2,2,2025,53371
2,2,2026,55543
2,2,2027,57627
2,2,2028,59347
2,2,2029,60993
2,2,2030,62343
2,2,2031,63426
2,2,2032,64159
2,2,2033,65930
2,2,2034,67694
2,2,2035,69488
2,2,2036,71278
2,2,2037,73065
2,2,2038,74882
2,2,2039,76653
2,2,2040,78477
2,2,2041,80285
2,2,2042,82094
2,2,2043,83920
2,2,2044,85776
2,2,2045,87646
2,2,2046,89499
2,2,2047,91395
2,2,2048,93271
2,2,2049,95131
2,2,2050,97067
2,2,2051,98988
2,2,2052,100899
2,2,2053,102867
2,2,2054,104811
2,2,2055,106836
2,2,2056,108819
2,2,2057,110855
2,2,2058,112889
2,2,2059,114937
2,2,2060,117007
3,0,2023,1604
3,0,2024,1767
3,0,2025,1858
3,0,2026,1986
3,0,2027,2119
3,0,2028,2257
3,0,2029,2326
3,0,2030,2425
3,0,2031,2549
3,0,2032,2624
3,0,2033,2742
3,0,2034,2887
3,0,2035,2992
3,0,2036,3054
3,0,2037,3122
3,0,2038,3223
3,0,2039,3294
3,0,2040,3384
3,0,2041,3414
3,0,2042,3476
3,0,2043,3528
3,0,2044,3571
3,0,2045,3609
3,0,2046,3653
3,0,2047,3700
3,0,2048,3731
3,0,2049,3759
3,0,2050,3782
3,0,2051,3807
3,0,2052,3843
3,0,2053,3852
3,0,2054,3869
3,0,2055,3882
3,0,2056,3903
3,0,2057,3924
3,0,2058,3957
3,0,2059,3960
3,0,2060,3966
3,1,2023,316
3,1,2024,416
3,1,2025,502
3,1,2026,601
3,1,2027,687
3,1,2028,786
3,1,2029,849
3,1,2030,920
3,1,2031,988
3,1,2032,1055
3,1,2033,1122
3,1,2034,1215
3,1,2035,1279
3,1,2036,1317
3,1,2037,1366
3,1,2038,1423
3,1,2039,1453
3,1,2040,1506
3,1,2041,1532
3,1,2042,1571
3,1,2043,1611
3,1,2044,1637
3,1,2045,1658
3,1,2046,1698
3,1,2047,1732
3,1,2048,1750
3,1,2049,1771
3,1,2050,1795
3,1,2051,1814
3,1,2052,1827
3,1,2053,1835
3,1,2054,1851
3,1,2055,1852
3,1,2056,1879
3,1,2057,1893
3,1,2058,1899
3,1,2059,1911
3,1,2060,1916
3,2,2023,1288
3,2,2024,1351
3,2,2025,1356
3,2,2026,1385
3,2,2027,1432
3,2,2028,1471
3,2,2029,1477
3,2,2030,1505
3,2,2031,1561
3,2,2032,1569
3,2,2033,1620
3,2,2034,1672
3,2,2035,1713
3,2,2036,1737
3,2,2037,1756
3,2,2038,1800
3,2,2039,1841
3,2,2040,1878
3,2,2041,1882
3,2,2042,1905
3,2,2043,1917
3,2,2044,1934
3,2,2045,1951
3,2,2046,1955
3,2,2047,1968
3,2,2048,1981
3,2,2049,1988
3,2,2050,1987
3,2,2051,1993
3,2,2052,2016
3,2,2053,2017
3,2,2054,2018
3,2,2055,2030
3,2,2056,2024
3,2,2057,2031
3,2,2058,2058
3,2,2059,2049
3,2,2060,2050
4,0,2023,288692
4,0,2024,290063
4,0,2025,291855
4,0,2026,293812
4,0,2027,294675
4,0,2028,294673
4,0,2029,295290
4,0,2030,294329
4,0,2031,291229
4,0,2032,286122
4,0,2033,286875
4,0,2034,287490
4,0,2035,288074
4,0,2036,288575
4,0,2037,289035
4,0,2038,289405
4,0,2039,289762
4,0,2040,290125
4,0,2041,290420
4,0,2042,290734
4,0,2043,290972
4,0,2044,291130
4,0,2045,291231
4,0,2046,291249
4,0,2047,291129
4,0,2048,290969
4,0,2049,290712
4,0,2050,290400
4,0,2051,290002
4,0,2052,289532
4,0,2053,289014
4,0,2054,288454
4,0,2055,287851
4,0,2056,287170
4,0,2057,286513
4,0,2058,285824
4,0,2059,285081
4,0,2060,284295
4,1,2023,126664
4,1,2024,127332
4,1,2025,128257
4,1,2026,129295
4,1,2027,129753
4,1,2028,129692
4,1,2029,129996
4,1,2030,129479
4,1,2031,127900
4,1,2032,125278
4,1,2033,125498
4,1,2034,125636
4,1,2035,125775
4,1,2036,125851
4,1,2037,125936
4,1,2038,125944
4,1,2039,125982
4,1,2040,126023
4,1,2041,126038
4,1,2042,126061
4,1,2043,126062
4,1,2044,126033
4,1,2045,125963
4,1,2046,125858
4,1,2047,125697
4,1,2048,125524
4,1,2049,125287
4,1,2050,125038
4,1,2051,124743
4,1,2052,124419
4,1,2053,124075
4,1,2054,123726
4,1,2055,123367
4,1,2056,122970
4,1,2057,122632
4,1,2058,122256
4,1,2059,121877
4,1,2060,121487
4,2,2023,162028
4,2,2024,162731
4,2,2025,163598
4,2,2026,164517
4,2,2027,164922
4,2,2028,164981
4,2,2029,165294
4,2,2030,164850
4,2,2031,163329
4,2,2032,160844
4,2,2033,161377
4,2,2034,161854
4,2,2035,162299
4,2,2036,162724
4,2,2037,163099
4,2,2038,163461
4,2,2039,163780
4,2,2040,164102
4,2,2041,164382
4,2,2042,164673
4,2,2043,164910
4,2,2044,165097
4,2,2045,165268
4,2,2046,165391
4,2,2047,165432
4,2,2048,165445
4,2,2049,165425
4,2,2050,165362
4,2,2051,165259
4,2,2052,165113
4,2,2053,164939
4,2,2054,164728
4,2,2055,164484
4,2,2056,164200
4,2,2057,163881
4,2,2058,163568
4,2,2059,163204
4,2,2060,162808
5,0,2023,5101
5,0,2024,5005
5,0,2025,4985
5,0,2026,4983
5,0,2027,4989
5,0,2028,4991
5,0,2029,4997
5,0,2030,4997
5,0,2031,4953
5,0,2032,4855
5,0,2033,4867
5,0,2034,4910
5,0,2035,4925
5,0,2036,4940
5,0,2037,4951
5,0,2038,4954
5,0,2039,4988
5,0,2040,4997
5,0,2041,5015
5,0,2042,5006
5,0,2043,5004
5,0,2044,5000
5,0,2045,5011
5,0,2046,5006
5,0,2047,5015
5,0,2048,5001
5,0,2049,5019
5,0,2050,5002
5,0,2051,5017
5,0,2052,5008
5,0,2053,4994
5,0,2054,4988
5,0,2055,4997
5,0,2056,5004
5,0,2057,4993
5,0,2058,4980
5,0,2059,4982
5,0,2060,4975
5,1,2023,2120
5,1,2024,2059
5,1,2025,2045
5,1,2026,2050
5,1,2027,2063
5,1,2028,2092
5,1,2029,2106
5,1,2030,2125
5,1,2031,2114
5,1,2032,2066
5,1,2033,2082
5,1,2034,2095
5,1,2035,2114
5,1,2036,2119
5,1,2037,2129
5,1,2038,2132
5,1,2039,2151
5,1,2040,2166
5,1,2041,2182
5,1,2042,2172
5,1,2043,2176
5,1,2044,2179
5,1,2045,2184
5,1,2046,2182
5,1,2047,2194
5,1,2048,2185
5,1,2049,2200
5,1,2050,2189
5,1,2051,2196
5,1,2052,2187
5,1,2053,2193
5,1,2054,2195
5,1,2055,2204
5,1,2056,2200
5,1,2057,2204
5,1,2058,2201
5,1,2059,2206
5,1,2060,2205
5,2,2023,2981
5,2,2024,2946
5,2,2025,2940
5,2,2026,2933
5,2,2027,2926
5,2,2028,2899
5,2,2029,2891
5,2,2030,2872
5,2,2031,2839
5,2,2032,2789
5,2,2033,2785
5,2,2034,2815
5,2,2035,2811
5,2,2036,2821
5,2,2037,2822
5,2,2038,2822
5,2,2039,2837
5,2,2040,2831
5,2,2041,2833
5,2,2042,2834
5,2,2043,2828
5,2,2044,2821
5,2,2045,2827
5,2,2046,2824
5,2,2047,2821
5,2,2048,2816
5,2,2049,2819
5,2,2050,2813
5,2,2051,2821
5,2,2052,2821
5,2,2053,2801
5,2,2054,2793
5,2,2055,2793
5,2,2056,2804
5,2,2057,2789
5,2,2058,2779
5,2,2059,2776
5,2,2060,2770
6,0,2023,23387
6,0,2024,23279
6,0,2025,23243
6,0,2026,23362
6,0,2027,23418
6,0,2028,23433
6,0,2029,23380
6,0,2030,23346
6,0,2031,23216
6,0,2032,23039
6,0,2033,23144
6,0,2034,23266
6,0,2035,23328
6,0,2036,23432
6,0,2037,23507
6,0,2038,23545
6,0,2039,23648
6,0,2040,23697
6,0,2041,23684
6,0,2042,23651
6,0,2043,23659
6,0,2044,23689
6,0,2045,23673
6,0,2046,23624
6,0,2047,23612
6,0,2048,23599
6,0,2049,23596
6,0,2050,23543
6,0,2051,23473
6,0,2052,23483
6,0,2053,23418
6,0,2054,23398
6,0,2055,23274
6,0,2056,23237
6,0,2057,23220
6,0,2058,23109
6,0,2059,23043
6,0,2060,23009
6,1,2023,11989
6,1,2024,11926
6,1,2025,11925
6,1,2026,11991
6,1,2027,11984
6,1,2028,11998
6,1,2029,11938
6,1,2030,11881
6,1,2031,11764
6,1,2032,11655
6,1,2033,11692
6,1,2034,11751
6,1,2035,11758
6,1,2036,11798
6,1,2037,11803
6,1,2038,11853
6,1,2039,11876
6,1,2040,11878
6,1,2041,11862
6,1,2042,11836
6,1,2043,11837
6,1,2044,11827
6,1,2045,11866
6,1,2046,11779
6,1,2047,11791
6,1,2048,11780
6,1,2049,11760
6,1,2050,11729
6,1,2051,11691
6,1,2052,11675
6,1,2053,11630
6,1,2054,11597
6,1,2055,11561
6,1,2056,11499
6,1,2057,11498
6,1,2058,11403
6,1,2059,11356
6,1,2060,11349
6,2,2023,11398
6,2,2024,11353
6,2,2025,11318
6,2,2026,11371
6,2,2027,11434
6,2,2028,11435
6,2,2029,11442
6,2,2030,11465
6,2,2031,11452
6,2,2032,11384
6,2,2033,11452
6,2,2034,11515
6,2,2035,11570
6,2,2036,11634
6,2,2037,11704
6,2,2038,11692
6,2,2039,11772
6,2,2040,11819
6,2,2041,11822
6,2,2042,11815
6,2,2043,11822
6,2,2044,11862
6,2,2045,11807
6,2,2046,11845
6,2,2047,11821
6,2,2048,11819
6,2,2049,11836
6,2,2050,11814
6,2,2051,11782
6,2,2052,11808
6,2,2053,11788
6,2,2054,11801
6,2,2055,11713
6,2,2056,11738
6,2,2057,11722
6,2,2058,11706
6,2,2059,11687
6,2,2060,11660
7,0,2023,559311
7,0,2024,563052
7,0,2025,567569
7,0,2026,573234
7,0,2027,577230
7,0,2028,579153
7,0,2029,581648
7,0,2030,581292
7,0,2031,577383
7,0,2032,569460
7,0,2033,573996
7,0,2034,578386
7,0,2035,582784
7,0,2036,587144
7,0,2037,591397
7,0,2038,595644
7,0,2039,599827
7,0,2040,604070
7,0,2041,608245
7,0,2042,612437
7,0,2043,616622
7,0,2044,620741
7,0,2045,624767
7,0,2046,628612
7,0,2047,632468
7,0,2048,636138
7,0,2049,639791
7,0,2050,643277
7,0,2051,646702
7,0,2052,649995
7,0,2053,653291
7,0,2054,656479
7,0,2055,659635
7,0,2056,662773
7,0,2057,665900
7,0,2058,668969
7,0,2059,671945
7,0,2060,674819
7,1,2023,257338
7,1,2024,258782
7,1,2025,260764
7,1,2026,263410
7,1,2027,265217
7,1,2028,265934
7,1,2029,266771
7,1,2030,266080
7,1,2031,263637
7,1,2032,259193
7,1,2033,260990
7,1,2034,262689
7,1,2035,264368
7,1,2036,266028
7,1,2037,267673
7,1,2038,269283
7,1,2039,270926
7,1,2040,272532
7,1,2041,274175
7,1,2042,275784
7,1,2043,277425
7,1,2044,279048
7,1,2045,280586
7,1,2046,282087
7,1,2047,283596
7,1,2048,284971
7,1,2049,286385
7,1,2050,287690
7,1,2051,288969
7,1,2052,290169
7,1,2053,291391
7,1,2054,292601
7,1,2055,293744
7,1,2056,294910
7,1,2057,296065
7,1,2058,297215
7,1,2059,298361
7,1,2060,299444
7,2,2023,301973
7,2,2024,304270
7,2,2025,306805
7,2,2026,309824
7,2,2027,312013
7,2,2028,313219
7,2,2029,314877
7,2,2030,315212
7,2,2031,313746
7,2,2032,310267
7,2,2033,313006
7,2,2034,315697
7,2,2035,318416
7,2,2036,321116
7,2,2037,323724
7,2,2038,326361
7,2,2039,328901
7,2,2040,331538
7,2,2041,334070
7,2,2042,336653
7,2,2043,339197
7,2,2044,341693
7,2,2045,344181
7,2,2046,346525
7,2,2047,348872
7,2,2048,351167
7,2,2049,353406
7,2,2050,355587
7,2,2051,357733
7,2,2052,359826
7,2,2053,361900
7,2,2054,363878
7,2,2055,365891
7,2,2056,367863
7,2,2057,369835
7,2,2058,371754
7,2,2059,373584
7,2,2060,375375
8,0,2023,293909
8,0,2024,292020
8,0,2025,290135
8,0,2026,291531
8,0,2027,293363
8,0,2028,295057
8,0,2029,295915
8,0,2030,297392
8,0,2031,299173
8,0,2032,300796
8,0,2033,302382
8,0,2034,303865
8,0,2035,305058
8,0,2036,306012
8,0,2037,306799
8,0,2038,307373
8,0,2039,307832
8,0,2040,308086
8,0,2041,307300
8,0,2042,306398
8,0,2043,305447
8,0,2044,304440
8,0,2045,303343
8,0,2046,302253
8,0,2047,300954
8,0,2048,299762
8,0,2049,298422
8,0,2050,297076
8,0,2051,295664
8,0,2052,294223
8,0,2053,292644
8,0,2054,291034
8,0,2055,289395
8,0,2056,287749
8,0,2057,286111
8,0,2058,284507
8,0,2059,282907
8,0,2060,281324
8,1,2023,138577
8,1,2024,137949
8,1,2025,137476
8,1,2026,138584
8,1,2027,139756
8,1,2028,140804
8,1,2029,141525
8,1,2030,142513
8,1,2031,143548
8,1,2032,144442
8,1,2033,145384
8,1,2034,146269
8,1,2035,146964
8,1,2036,147546
8,1,2037,147995
8,1,2038,148320
8,1,2039,148563
8,1,2040,148743
8,1,2041,148346
8,1,2042,147934
8,1,2043,147489
8,1,2044,146985
8,1,2045,146526
8,1,2046,145973
8,1,2047,145368
8,1,2048,144810
8,1,2049,144176
8,1,2050,143543
8,1,2051,142893
8,1,2052,142220
8,1,2053,141494
8,1,2054,140730
8,1,2055,139984
8,1,2056,139217
8,1,2057,138493
8,1,2058,137721
8,1,2059,136978
8,1,2060,136257
8,2,2023,155332
8,2,2024,154071
8,2,2025,152659
8,2,2026,152947
8,2,2027,153607
8,2,2028,154253
8,2,2029,154390
8,2,2030,154879
8,2,2031,155625
8,2,2032,156354
8,2,2033,156998
8,2,2034,157596
8,2,2035,158094
8,2,2036,158466
8,2,2037,158804
8,2,2038,159053
8,2,2039,159269
8,2,2040,159343
8,2,2041,158954
8,2,2042,158464
8,2,2043,157958
8,2,2044,157455
8,2,2045,156817
8,2,2046,156280
8,2,2047,155586
8,2,2048,154952
8,2,2049,154246
8,2,2050,153533
8,2,2051,152771
8,2,2052,152003
8,2,2053,151150
8,2,2054,150304
8,2,2055,149411
8,2,2056,148532
8,2,2057,147618
8,2,2058,146786
8,2,2059,145929
8,2,2060,145067
9,0,2023,165448
9,0,2024,164370
9,0,2025,163554
9,0,2026,163147
9,0,2027,162311
9,0,2028,160979
9,0,2029,159991
9,0,2030,158484
9,0,2031,156281
9,0,2032,152876
9,0,2033,153661
9,0,2034,154454
9,0,2035,155236
9,0,2036,156022
9,0,2037,156795
9,0,2038,157593
9,0,2039,158330
9,0,2040,159081
9,0,2041,159803
9,0,2042,160550
9,0,2043,161276
9,0,2044,161983
9,0,2045,162647
9,0,2046,163281
9,0,2047,163853
9,0,2048,164482
9,0,2049,165048
9,0,2050,165554
9,0,2051,166037
9,0,2052,166484
9,0,2053,166918
9,0,2054,167277
9,0,2055,167635
9,0,2056,167975
9,0,2057,168263
9,0,2058,168530
9,0,2059,168761
9,0,2060,168899
9,1,2023,81255
9,1,2024,80523
9,1,2025,79981
9,1,2026,79644
9,1,2027,79097
9,1,2028,78313
9,1,2029,77649
9,1,2030,76704
9,1,2031,75433
9,1,2032,73563
9,1,2033,73853
9,1,2034,74154
9,1,2035,74423
9,1,2036,74732
9,1,2037,75031
9,1,2038,75344
9,1,2039,75640
9,1,2040,75932
9,1,2041,76212
9,1,2042,76524
9,1,2043,76799
9,1,2044,77094
9,1,2045,77346
9,1,2046,77623
9,1,2047,77853
9,1,2048,78100
9,1,2049,78340
9,1,2050,78536
9,1,2051,78722
9,1,2052,78911
9,1,2053,79091
9,1,2054,79233
9,1,2055,79354
9,1,2056,79480
9,1,2057,79570
9,1,2058,79665
9,1,2059,79759
9,1,2060,79804
9,2,2023,84193
9,2,2024,83847
9,2,2025,83573
9,2,2026,83503
9,2,2027,83214
9,2,2028,82666
9,2,2029,82342
9,2,2030,81780
9,2,2031,80848
9,2,2032,79313
9,2,2033,79808
9,2,2034,80300
9,2,2035,80813
9,2,2036,81290
9,2,2037,81764
9,2,2038,82249
9,2,2039,82690
9,2,2040,83149
9,2,2041,83591
9,2,2042,84026
9,2,2043,84477
9,2,2044,84889
9,2,2045,85301
9,2,2046,85658
9,2,2047,86000
9,2,2048,86382
9,2,2049,86708
9,2,2050,87018
9,2,2051,87315
9,2,2052,87573
9,2,2053,87827
9,2,2054,88044
9,2,2055,88281
9,2,2056,88495
9,2,2057,88693
9,2,2058,88865
9,2,2059,89002
9,2,2060,89095