,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
42,2061284,2107882,2131833,2132547,2172140,2214696,2233007,2249872,2252125,2286160,2321952,2364895,2412210,2455815,2494560,2511192,2503209,2482104,2461820,2438891,2397821,2361689,2421323,2294161,2236552,2230660,2192835,2230600,2256218,2277691,2351810,2382808,2407673,2521128,2517377,2678800,3030822,2881926,2864255,2836649,3865258,3638569,3723698,3761668,3936734,4026188,4151467,4276647,4326994,4510945,4550203,4514435,4699196,4606465,4555019,4537278,4552280,4485432,4199463,4085849,4079598,4082649,4386985,4327551,4091708,3917161,3861852,3990700
43,2010872,2053470,2101458,2124780,2128286,2169826,2214657,2234056,2250438,2254757,2290300,2316082,2356871,2403801,2446979,2484440,2502460,2495653,2474241,2453350,2392199,2386965,2348590,2406060,2277211,2218980,2211075,2171159,2209173,2233036,2265006,2365590,2394773,2418034,2415058,2520262,2677362,3021212,2868066,2847349,2817595,3593881,3608575,3695185,3732055,3905817,3995918,4121798,4248947,4299597,4410207,4523433,4515522,4699388,4610120,4559728,4544742,4560505,4495218,4209233,4095947,4093719,4161015,4385208,4327303,4093397,3918537,3863455
44,1963179,2000532,2046150,2095250,2123055,2130086,2175605,2223462,2244353,2264838,2271385,2282829,2306453,2346512,2392579,2434326,2472528,2491117,2483719,2461378,2418912,2382516,2381131,2346827,2408506,2284183,2229200,2224619,2190694,2233444,2260419,2282952,2392734,2431483,2429159,2455766,2569589,2736339,3096627,2948798,2933327,3983307,3704616,3705874,3778604,3801819,3964576,4040977,4154056,4264857,4310559,4470894,4511955,4497961,4679182,4585528,4532763,4512801,4524541,4454485,4168649,4178367,4078611,4158497,4383470,4327295,4093328,3919057
45,1920595,1973176,2008515,2050027,2098128,2123773,2128724,2171200,2214636,2233517,2250666,2262392,2272120,2294990,2334084,2379012,2421211,2459682,2477718,2469363,2465964,2405799,2368042,2365456,2330127,2391229,2266037,2209811,2206330,2171900,2210602,2216428,2240633,2350476,2348675,2384491,2412511,2525079,2689668,3042729,2898446,2843243,3927564,3673926,3692269,3783787,3826170,4010409,4109853,4244856,4342962,4301955,4461379,4499971,4486566,4666734,4573546,4519792,4499251,4509265,4438932,4438446,4087295,4074594,4155383,4381059,4324551,4091579
46,1861858,1896650,1951101,1986586,2031448,2082012,2110423,2117289,2160534,2207227,2227858,2242108,2252143,2260709,2282131,2319988,2364671,2406418,2443940,2460507,2433301,2450645,2390643,2353253,2351167,2317277,2378001,2253199,2200002,2196871,2178678,2248338,2244011,2258898,2257591,2355339,2379974,2395559,2494825,2645852,2978785,2830773,2770538,3826806,3577479,3594423,3682021,3723109,3902522,3997738,4088778,4331582,4301101,4462427,4506067,4496805,4682144,4591932,4541484,4523596,4536724,4529607,4168182,4081816,4070035,4151692,4376488,4320583
47,1823655,1865352,1899084,1950647,1986117,2029956,2079532,2105965,2109794,2152367,2195145,2210739,2224855,2234924,2243234,2264928,2303584,2348920,2391176,2428585,2415765,2423579,2442225,2383629,2348110,2348673,2315799,2377766,2256874,2205236,2210352,2202038,2272028,2268619,2267602,2280841,2379271,2403443,2418190,2517357,2668801,2855789,2862271,2802506,3862371,3613326,3630016,3718737,3760350,3938567,4020621,4152347,4330110,4300483,4465196,4511695,4506142,4694196,4606123,4557336,4540738,4535360,4424250,4161224,4076200,4065383,4146627,4370964
48,1792824,1846607,1886424,1916269,1967095,2000462,2042257,2088827,2110924,2112595,2148220,2167263,2184752,2200770,2212608,2223279,2247692,2289115,2337170,2381535,2448256,2407120,2410240,2424640,2362543,2324153,2320528,2284194,2345248,2222041,2148060,2080426,2075050,2142170,2141362,2138406,2152969,2246427,2269947,2285962,2382389,2875500,2745716,2762339,2714446,3759440,3527475,3556548,3657678,3711969,3885893,4018921,4143330,4317939,4287486,4449860,4495342,4487653,4672955,4582655,4531076,4534558,4511059,4414834,4153395,4069724,4058776,4140010
49,1743067,1731205,1788803,1831607,1867702,1923642,1962889,2009895,2060911,2090332,2092119,2116663,2138487,2158820,2177806,2192928,2207371,2235902,2281190,2332481,2387341,2454763,2421471,2433195,2456746,2403030,2371690,2376177,2349475,2421037,2305722,2237674,2179757,2186228,2185668,2269706,2280911,2307246,2421526,2462585,2492820,2730461,3112867,2953332,2949117,2877689,3949581,3682703,3688642,3766103,3759137,3894178,4016368,4141856,4319947,4292077,4458112,4506188,4501160,4689393,4600450,4598974,4512793,4499442,4404466,4144843,4061192,4050722
50,1730428,1739683,1723153,1774906,1814252,1845729,1896811,1930233,1970024,2016087,2036229,2065078,2091873,2116081,2139217,2160922,2179413,2197883,2229848,2277866,2427106,2374820,2430489,2386051,2386889,2399716,2335316,2294077,2289787,2253574,2343195,2307528,2232824,2168421,2168020,2168538,2243141,2246264,2265837,2370932,2401729,2539175,2681178,3075050,2931260,2942796,2887156,3985097,3735267,3759660,3808974,3796146,3881009,3998812,4121104,4295348,4264904,4426479,4471128,4462192,4643804,4646111,4508304,4498950,4486472,4392884,4133931,4051078
51,1705308,1736590,1741462,1719360,1768402,1803755,1831199,1877070,1903914,1939474,1977497,2007327,2038684,2068191,2095845,2121977,2147484,2170768,2193100,2228111,2299963,2426681,2381271,2445651,2409373,2419176,2440346,2383193,2351038,2355872,2291831,2271559,2235060,2161166,2160867,2096579,2096758,2165717,2166938,2185343,2284871,2349673,2452676,2590027,2968927,2829736,2840370,2786958,3846416,3603669,3617335,3796980,3797199,3886144,4010062,4138594,4320192,4294933,4464006,4514833,4508821,4498875,4568158,4491995,4483424,4472068,4378704,4121394
52,1668072,1685405,1716856,1721237,1701137,1750976,1787340,1814963,1859706,1888124,1926119,1965612,1995779,2027582,2058466,2086683,2114281,2142441,2167182,2189984,2199245,2288583,2414096,2367807,2431597,2395310,2403540,2424062,2368039,2335726,2345746,2284778,2263467,2226504,2226301,2151393,2086265,2084252,2152572,2153471,2169764,2309871,2349472,2456144,2595513,2979024,2842525,2856781,2807164,3877210,3707711,3654405,3785188,3782009,3868188,3989065,4114856,4292620,4264599,4429228,4475280,4480498,4611354,4549602,4474669,4466906,4455485,4363205
53,1623091,1616865,1637802,1672117,1682261,1667258,1721462,1761836,1792438,1842910,1882850,1936516,1973331,2000456,2030287,2058183,2084320,2110896,2136803,2158263,2130839,2180835,2272102,2400538,2356947,2424569,2390178,2401390,2426806,2373821,2349002,2361559,2299708,2277735,2277561,2239807,2164111,2097690,2095645,2164203,2165575,2285781,2326193,2361489,2462338,2596970,2973676,2831924,2840722,2784986,3635250,3631014,3650409,3783390,3782872,3871906,3996095,4124978,4306809,4281465,4446435,4439343,4461212,4591335,4530188,4456110,4448135,4437426
54,1584046,1585288,1581823,1604742,1643274,1656852,1645282,1702245,1744354,1779285,1841419,1901801,1951592,1983376,2006453,2031279,2055086,2077792,2099908,2120393,2108622,2105749,2155553,2246798,2375247,2333508,2400661,2366486,2380002,2405947,2366179,2369207,2382771,2321937,2321824,2300323,2263393,2187250,2120732,2120814,2190010,2207793,2326594,2368877,2405041,2508810,2646579,3031152,2889267,2899264,2817674,3808740,3626101,3646923,3782442,3783820,3874826,4001168,4132932,4317125,4290989,4288408,4439455,4439894,4569843,4509126,4435174,4427991
55,1544901,1562796,1566919,1565919,1593667,1636072,1653083,1644532,1704180,1751321,1795689,1851867,1909268,1954413,1982543,2001015,2022247,2042681,2061296,2078471,2105906,2082108,2078269,2127097,2217740,2346160,2303077,2369269,2336478,2349711,2368700,2298567,2301151,2313467,2313389,2253413,2231609,2194592,2119707,2054411,2053582,2139466,2156610,2277530,2321516,2361331,2466561,2607025,2989956,2854705,2850672,2851092,3788111,3601691,3618001,3748247,3745012,3829701,3949524,4074019,4247932,4258899,4394770,4415993,4416633,4546665,4485896,4413266
56,1499706,1513994,1534245,1540543,1544001,1574959,1620064,1639945,1633094,1696982,1751551,1802980,1856471,1909068,1950542,1974040,1988847,2006225,2022374,2035956,2050273,2081236,2058659,2055940,2106654,2200058,2329991,2287932,2357458,2327033,2338575,2340465,2276563,2285209,2285160,2303064,2249070,2232130,2200309,2129937,2068876,2193924,2159002,2168750,2280177,2315652,2345407,2441240,2570398,2937405,2837520,2846838,2846712,3785668,3603856,3625240,3760899,3761384,3850704,3975863,4101798,4093115,4241425,4369037,4390423,4391484,4520972,4461346
57,1456723,1473791,1490847,1513668,1524815,1531865,1565753,1614360,1636568,1633812,1700406,1739316,1789519,1839258,1889533,1927957,1949482,1961818,1976557,1989460,2010442,2024298,2056295,2034584,2033465,2086289,2179968,2310159,2271458,2342711,2326955,2373818,2372641,2304871,2304835,2310387,2326412,2268929,2249029,2215139,2141612,2065780,2198206,2162683,2169884,2280311,2313550,2342387,2436245,2562202,2864067,2805407,2833628,2831596,3763702,3582008,3601973,3734883,3733201,3819855,3939730,3946482,4209314,4214850,4341770,4363359,4364273,4493573
58,1419461,1466950,1484062,1500969,1526042,1537925,1544679,1579415,1628208,1652113,1641590,1662232,1702118,1750475,1800029,1849577,1888550,1910264,1922765,1937145,1942941,1982253,1996197,2027978,2006778,2006936,2059645,2154049,2287211,2247848,2301312,2223827,2261921,2254109,2254082,2182467,2181601,2189763,2129191,2104164,2065846,1959758,1952259,2092281,2070964,2092517,2213487,2261803,2305077,2413410,2540171,2900132,2792832,2821608,2819754,3748661,3568659,3588953,3722427,3721219,3805224,3802411,4041657,4181182,4186598,4312945,4334230,4335891
59,1372293,1431170,1470910,1479280,1489617,1506930,1510043,1508629,1533905,1575047,1581662,1590101,1613346,1652735,1702226,1752428,1803853,1844667,1868127,1881960,1896914,1919926,1964521,1983358,2021247,2006314,2011432,2070191,2172836,2314488,2276010,2317754,2250301,2299496,2299481,2302210,2239960,2249644,2269872,2218791,2203829,2084058,2055045,2035171,2166563,2132617,2141819,2252781,2287929,2317257,2377031,2565506,2881784,2773994,2801863,2799064,3720317,3539851,3558712,3689647,3684511,3694225,3893007,4012567,4151512,4156767,4281943,4303880
60,1308533,1327936,1385931,1424970,1435218,1446324,1463365,1466903,1465009,1491951,1525828,1534453,1545564,1568398,1608903,1658851,1710650,1763861,1805981,1830333,1912080,1856716,1866721,1897202,1903449,1928253,1901134,1893305,1937220,2020358,2183165,2268018,2303173,2230503,2230492,2272133,2267512,2200011,2203489,2215857,2160359,2133493,2042699,2022870,2011286,2150779,2125692,2144981,2265731,2310087,2319955,2380300,2540735,2849408,2739059,2763609,2757092,3659454,3476545,3489302,3610918,3616676,3746688,3862888,3981755,4119957,4124852,4249921
61,1261628,1283071,1302807,1360993,1402234,1413664,1425006,1442808,1446114,1446654,1467415,1478537,1489646,1500230,1524071,1564762,1615843,1669258,1723215,1765604,1791616,1885972,1843374,1865564,1910517,1931107,1970410,1955363,1961844,2022892,2083512,2129645,2211964,2245161,2245155,2172234,2212161,2205892,2138741,2141813,2153991,2103037,2081846,1989230,1964713,1950476,2081169,2053635,2068229,2179633,2221239,2323707,2370358,2534959,2848602,2745139,2776869,2775802,3694987,3517588,3535578,3520129,3636530,3715444,3830701,3948750,4085979,4091662
62,1219039,1259031,1277776,1294512,1351998,1391249,1399337,1407798,1421798,1424132,1417997,1428861,1442477,1453083,1464853,1489103,1531088,1584234,1638593,1692902,1732996,1772301,1868900,1827066,1851218,1899484,1921812,1963589,1950836,1959688,2001102,1989414,2041123,2128916,2128915,2169523,2108162,2155013,2157652,2101100,2113450,2082841,2094577,2076593,1985432,1963838,1951353,2085146,2060486,2076740,2171077,2213270,2306156,2352131,2515357,2827064,2725651,2757918,2757325,3673134,3495162,3495097,3556423,3603852,3682166,3796367,3913573,4050159
63,1176591,1210922,1247344,1262015,1276387,1330549,1365289,1369323,1372692,1384605,1383905,1392847,1405947,1419014,1430865,1442985,1468413,1512742,1567038,1621868,1640281,1724388,1762498,1859114,1816165,1839876,1887693,1909245,1951261,1937597,1951935,2001878,1990177,2040799,2040794,2128609,2168963,2107008,2153491,2155569,2099350,2148741,2088276,2098970,2078777,1986466,1962494,1949857,2082932,2055865,2053152,2172024,2195850,2289143,2335553,2498812,2810202,2711325,2744863,2745716,3650648,3652182,3455685,3521985,3569056,3646303,3758910,3875907
64,1137232,1155186,1188280,1223318,1238339,1252105,1304579,1338209,1340078,1344533,1358968,1366154,1376882,1389467,1403994,1416172,1429058,1456619,1501981,1556698,1598736,1633125,1715315,1750243,1846090,1800531,1820831,1866559,1885688,1925630,1922964,1970437,2020879,2009583,2009579,2060127,2149671,2190909,2129207,2176940,2180103,2135011,2169799,2104595,2109992,2086191,1988609,1960631,1944151,2070901,2040067,2047019,2147166,2168747,2259557,2303653,2463439,2769163,2668775,2699257,2694884,2706101,3424934,3418893,3485992,3531786,3607574,3720053
65,1102643,1122337,1139636,1172152,1208291,1223262,1235999,1288341,1320412,1323956,1331942,1339135,1347530,1357847,1372266,1387207,1399910,1414629,1442779,1488120,1550071,1585875,1617903,1698598,1732362,1827810,1779323,1798332,1842735,1860719,1903573,1905065,1947325,1990231,1990231,1973045,2016182,2097027,2130782,2065199,2105443,2069964,2083818,2120517,2058214,2066151,2044450,1950886,1925215,1910015,2029911,2012270,2025379,2125962,2148431,2240858,2286008,2445756,2751913,2653345,2683399,2678528,3573951,3385678,3380825,3447219,3492271,3567978
66,1068359,1094587,1112306,1127640,1159956,1194738,1207122,1217874,1266948,1299233,1304419,1308975,1317006,1325285,1338071,1353251,1368739,1383451,1398652,1426484,1475305,1532190,1565388,1594781,1675017,1707370,1801871,1751748,1768230,1811718,1819049,1829337,1835044,1879733,1879733,1923108,1910786,1954564,2037113,2072972,2013438,2067884,2024865,2041079,2079157,2020906,2030826,2012216,1921704,1897274,1860320,2013441,1986541,1999916,2098650,2121740,2213751,2257671,2416007,2719454,2619994,2621359,2643322,3530144,3344794,3340042,3405526,3451069
67,1025449,1061328,1084556,1099179,1112897,1142541,1173570,1182606,1188273,1236144,1269656,1280469,1284509,1291689,1301962,1314860,1329669,1346416,1360788,1374516,1408965,1445724,1499968,1530467,1558455,1636899,1666707,1758964,1706417,1722200,1770190,1791763,1805188,1813691,1813691,1861062,1907431,1897611,1943674,2029460,2069115,2028118,2042608,2003067,2021510,2063478,2008723,2022161,2006968,1917888,1896451,1850485,1986526,1961151,1975087,2074635,2098690,2191327,2235669,2394376,2692652,2693743,2611346,2608170,3484014,3300801,3296304,3361747
68,959546,984827,1021860,1046629,1064430,1080208,1111188,1144535,1154064,1164286,1218968,1242949,1251866,1253728,1261738,1270969,1282238,1297144,1312478,1324240,1287308,1367181,1403814,1458335,1490560,1519930,1599695,1631626,1726241,1675949,1686029,1708596,1725417,1732946,1732946,1736303,1778854,1817364,1803624,1841906,1919095,1913084,1938844,1952519,1913794,1932993,1972603,1920791,1934359,1918627,1864515,1852792,1821142,1955990,1930847,1945279,2044245,2068095,2160024,2204229,2357699,2359862,2548173,2573554,2571100,3434771,3254306,3251249
69,892792,925655,952558,991651,1019929,1040011,1057235,1090995,1125536,1139912,1155127,1188701,1210170,1216024,1217757,1224004,1230866,1241462,1254376,1266546,1304600,1238556,1317163,1353465,1407520,1440341,1470385,1549926,1581887,1674541,1630638,1663222,1690499,1710148,1710148,1720868,1729952,1777356,1820003,1811648,1855145,1959316,1905437,1926597,1935051,1892957,1907485,1943776,1889019,1897694,1882348,1833245,1818893,1787777,1920414,1896115,1910507,2007386,2030734,2120973,2161590,2167896,2611661,2507086,2533751,2531174,3381146,3204338
70,820399,849494,881190,906930,946111,973290,991438,1007696,1038546,1074172,1089339,1121903,1153063,1171256,1176674,1176625,1180517,1186609,1195293,1205143,1271974,1239995,1165820,1232619,1258581,1300705,1322033,1340517,1403978,1423281,1526318,1558336,1590722,1616223,1616223,1634566,1645464,1654637,1702478,1742603,1736228,1888676,1909884,1861074,1884782,1897621,1860250,1879197,1919463,1869141,1875175,1817859,1792760,1777336,1744903,1873726,1848556,1860716,1953328,1974076,2058313,2062660,2281747,2565768,2464843,2490999,2488370,3324662
71,748822,776796,804974,835573,861463,899494,924740,942004,955589,987571,1023577,1054360,1084817,1112758,1130510,1134421,1132308,1135613,1140178,1146136,1146673,1223707,1200090,1134140,1211742,1248110,1302736,1335833,1364772,1444508,1448682,1481231,1513441,1544709,1544709,1568973,1586941,1597134,1607191,1654847,1696340,1728675,1829579,1846246,1794102,1814445,1822144,1782428,1797080,1831912,1788269,1844676,1782107,1760292,1747347,1718367,1848947,1826784,1841560,1936308,1957476,1953665,2089893,2238309,2519507,2419540,2446446,2443843
72,678081,694919,724682,754659,788354,816386,855929,883994,902398,921036,955657,983727,1012356,1039311,1066546,1082762,1084674,1081946,1083811,1085805,1056582,1091316,1164701,1139517,1074128,1149406,1184467,1236501,1266367,1293962,1378688,1404413,1431028,1455774,1455774,1479114,1495777,1505523,1508952,1511993,1552937,1646210,1687724,1786398,1801138,1751194,1769906,1777197,1738304,1752158,1791696,1743767,1797946,1736351,1713793,1700960,1672443,1798955,1776463,1790136,1879542,1883894,1981539,2046427,2194211,2468839,2372281,2399286
73,624363,644857,661775,691543,722642,756238,783343,823290,849766,870230,886757,910453,936221,961163,987329,1012772,1026983,1028250,1024028,1023647,1013178,1002799,1041074,1119838,1100498,1038666,1120924,1162381,1221003,1257794,1270301,1300022,1330449,1360692,1360692,1389518,1417396,1438053,1453150,1461094,1471461,1525841,1571028,1618182,1719772,1743526,1702570,1729265,1745311,1715307,1725168,1733630,1697450,1751589,1691931,1671512,1660842,1633722,1758650,1737897,1750343,1750372,1869214,1936203,2002134,2145541,2415320,2321473
74,572323,586650,606084,621918,651585,681157,712341,738330,774993,801837,818031,838437,859634,881718,906079,930126,953532,966960,966365,960394,978334,956616,946418,985307,1065364,1047781,988452,1072264,1113647,1173380,1217246,1247885,1278787,1309289,1309289,1340032,1369877,1397990,1419713,1434583,1444900,1466136,1492232,1536940,1582271,1682817,1705531,1665957,1692824,1708893,1677133,1682014,1679791,1644551,1696130,1638505,1619038,1608315,1581331,1702305,1680364,1686065,1794560,1821988,1889901,1953194,2094035,2357801
75,526042,547875,559772,576873,591388,618233,643966,672569,693623,728589,749616,769465,787457,805334,827423,849660,872070,894893,906225,904503,919310,924315,902220,892135,932416,1013748,996921,938830,1021824,1064334,1125614,1157454,1189359,1219737,1219737,1250315,1282255,1312600,1342092,1363691,1381046,1409800,1424893,1448975,1489914,1533755,1628948,1649537,1610422,1635100,1651641,1610892,1620812,1617308,1581121,1629763,1573506,1553097,1541027,1513301,1626911,1631948,1659192,1744755,1773949,1839060,1901800,2039236
76,475302,495619,516011,526573,543531,556252,580409,604925,629920,650616,681648,701945,719204,733920,752004,771665,792291,814050,834265,844551,839268,869665,877299,857800,851913,896927,985573,973432,911426,1001631,1042364,1070941,1100369,1128408,1128408,1154191,1181582,1209773,1237138,1261725,1280773,1338624,1347524,1362080,1384232,1424436,1465646,1556914,1577276,1539897,1556567,1589103,1554475,1567629,1566753,1535359,1587027,1535224,1518327,1510000,1484184,1481772,1589512,1608437,1694182,1721269,1785775,1847158
77,427724,443320,463196,483490,495142,511619,522902,547425,569887,596116,614477,634491,652199,666380,681637,697251,715539,735659,754708,774174,787600,791081,821522,829257,811685,807752,853527,944545,931770,871161,962627,989587,1018976,1047820,1047820,1075430,1100951,1128442,1157767,1184851,1211500,1246679,1282300,1289251,1300723,1321703,1357929,1395791,1481717,1499691,1460781,1503097,1522890,1489790,1501866,1501643,1472328,1521903,1472006,1455744,1446452,1449228,1529055,1535801,1556807,1638604,1666031,1729114
78,384529,401306,414946,433207,453080,462459,475657,485321,505659,526970,548964,568310,585788,600660,615677,628482,643002,660983,678393,697112,699225,745950,751913,785936,798790,785263,783383,834999,935241,926320,886038,907298,933574,960419,960419,986823,1012298,1035265,1061552,1088053,1115075,1200038,1211001,1241695,1243529,1251908,1267591,1298103,1330641,1408598,1431916,1405933,1436185,1456995,1425682,1439475,1441641,1414814,1464084,1417539,1402127,1402261,1378369,1471959,1481179,1500111,1580281,1607240
79,341701,355965,371448,384086,402708,421232,428091,440604,446987,467184,485738,504365,521276,536172,552115,564733,576689,591131,606491,623926,625561,655410,698374,700339,731586,742366,725770,723205,770914,860125,813189,832891,854848,880784,880784,907254,933775,959601,983524,1009564,1038870,1086927,1134927,1145198,1173164,1176080,1183574,1198485,1228062,1259320,1314908,1346388,1336099,1366120,1385977,1357369,1372532,1375325,1350299,1398480,1353698,1355002,1338237,1321224,1414026,1421387,1440868,1518513
80,301331,310899,323884,338508,351569,368972,385155,391499,400988,407389,425557,443979,460568,475454,491897,505885,518162,530576,542969,559029,605554,579633,600143,632789,627172,650375,651460,628694,617301,653467,727858,744184,763730,782522,782522,806129,830145,854281,878562,898712,924401,974484,1000758,1051641,1067825,1102979,1113040,1127620,1150320,1186831,1207365,1254832,1269310,1259724,1286733,1305661,1278890,1292775,1294601,1270444,1314427,1319813,1283536,1277082,1263371,1350788,1359236,1378494
81,264897,274292,282444,294477,309400,321134,336042,351548,354724,364053,368485,385537,401800,416316,432481,446842,460261,472767,482999,495767,539114,567154,545217,570527,611424,612719,643468,652138,632018,625233,644883,660778,679188,699217,699217,718086,742609,767368,793511,817803,840878,885099,906037,927630,970846,984170,1013050,1019106,1029841,1047808,1072048,1154138,1180698,1196760,1189534,1218283,1239927,1216593,1232307,1236769,1214826,1212664,1228264,1218481,1215525,1200591,1285201,1293831
82,228777,233122,240744,247375,258980,271953,280499,293837,305632,308239,315562,331045,346133,360573,376307,390716,404604,418377,429073,439600,445989,501102,526766,501303,525655,566180,565230,594765,600711,580415,570588,585872,603825,622642,622642,643113,662174,687254,713753,739577,766555,803943,824350,845877,866708,909983,923749,952612,960538,972792,981562,993071,1075053,1100969,1115106,1109756,1138135,1158822,1136851,1152248,1155643,1158424,1183647,1159174,1153165,1148785,1135811,1216640
83,197083,200470,203506,209833,216216,226309,236421,243699,254028,265630,267285,281045,294796,308280,323724,338150,352128,366464,378951,389645,382693,409310,462095,483987,456169,479380,517210,515163,540861,545463,531612,542091,556727,570844,570844,585654,602105,616432,638110,658713,681040,738123,749775,766435,783169,800876,837680,847334,871471,875954,883063,927192,919945,997727,1023151,1038431,1036784,1065220,1086404,1067638,1082810,1081505,1073832,1109606,1089796,1082286,1079926,1068110
84,167401,170539,172672,174145,179705,184365,191237,199435,203622,213541,224172,235686,248012,260371,274479,289252,303252,317793,331616,343637,338932,346871,369492,417054,434142,403527,422671,456302,449750,470622,480338,490656,502278,516409,516409,529282,542353,557274,570447,589353,609772,644864,673750,684844,699870,716604,732462,766709,776089,798923,801329,808972,849397,843416,913980,939062,954381,953666,980196,1000612,982375,987098,1011161,998639,1035631,1014952,1009519,1008215
85,589612,627704,665147,700618,738452,775617,804375,837293,864481,901219,940054,964233,982198,1003418,1040022,1081760,1127697,1186242,1240679,1307490,1430493,1487010,1542441,1606740,1706304,1821040,1896295,1991680,2094958,2196921,2271631,2349175,2436707,2518435,2518435,2594641,2667272,2742048,2823030,2885260,2967744,3189139,3314660,3445566,3561032,3680722,3794892,3905476,4032535,4154018,4239587,4312494,4368808,4466176,4545883,4693299,4865929,5039545,5195840,5367301,5532756,5543134,5878177,6014210,6154403,6278584,6381877,6468682