,1950,1960,1970,1980,1990,2000,2010
0,100000,100000,100000,100000,100000,100000,100000
1,97024,97407,97998,98740,99064,99307,99341
2,96801,97242,97876,98648,98992,99256,99295
3,96667,97141,97792,98584,98944,99221,99267
4,96565,97063,97724,98535,98907,99197,99245
5,96482,96998,97668,98495,98877,99177,99228
6,96408,96941,97619,98459,98850,99158,99213
7,96342,96891,97573,98426,98826,99141,99199
8,96283,96845,97531,98396,98803,99124,99187
9,96229,96803,97494,98370,98783,99109,99176
10,96177,96765,97460,98347,98766,99095,99167
11,96127,96729,97430,98328,98750,99083,99158
12,96075,96693,97401,98309,98734,99070,99150
13,96019,96654,97367,98285,98713,99053,99138
14,95957,96608,97322,98248,98681,99028,99118
15,95885,96551,97261,98196,98635,98992,99089
16,95801,96483,97181,98129,98573,98943,99050
17,95706,96403,97083,98047,98497,98883,99002
18,95601,96314,96970,97953,98409,98814,98944
19,95487,96216,96846,97851,98314,98736,98878
20,95366,96111,96716,97741,98215,98654,98804
21,95238,96001,96580,97623,98113,98567,98722
22,95103,95883,96438,97499,98006,98474,98632
23,94963,95761,96292,97370,97896,98377,98536
24,94820,95638,96145,97240,97784,98279,98438
25,94676,95517,96000,97110,97671,98181,98341
26,94531,95397,95859,96982,97556,98085,98245
27,94383,95277,95721,96856,97441,97989,98150
28,94234,95157,95586,96730,97322,97893,98056
29,94079,95034,95448,96604,97199,97796,97960
30,93919,94905,95307,96477,97070,97696,97863
31,93751,94769,95158,96350,96934,97594,97763
32,93574,94626,95003,96220,96791,97488,97660
33,93387,94476,94840,96088,96642,97376,97554
34,93188,94315,94666,95951,96485,97258,97443
35,92976,94144,94482,95808,96322,97132,97328
36,92750,93961,94285,95655,96150,96996,97207
37,92507,93765,94073,95492,95969,96851,97080
38,92244,93551,93843,95317,95780,96696,96944
39,91958,93319,93593,95129,95581,96529,96798
40,91648,93064,93322,94926,95373,96349,96639
41,91311,92785,93028,94706,95156,96154,96468
42,90944,92479,92712,94465,94928,95944,96281
43,90544,92144,92368,94201,94687,95718,96076
44,90108,91778,91995,93913,94431,95474,95850
45,89634,91378,91587,93599,94154,95210,95602
46,89118,90943,91144,93256,93855,94923,95331
47,88559,90470,90662,92882,93528,94611,95038
48,87952,89951,90142,92472,93173,94274,94719
49,87296,89382,89579,92021,92787,93911,94374
50,86591,88756,88972,91526,92370,93522,93999
51,85832,88069,88315,90986,91918,93107,93592
52,85017,87318,87605,90402,91424,92662,93151
53,84139,86507,86838,89771,90885,92184,92678
54,83193,85637,86007,89087,90297,91670,92173
55,82176,84711,85110,88348,89658,91113,91635
56,81086,83728,84142,87551,88965,90507,91062
57,79918,82681,83103,86695,88214,89845,90453
58,78669,81564,81988,85776,87397,89124,89801
59,77337,80362,80798,84789,86506,88343,89104
60,75921,79067,79529,83726,85537,87498,88356
61,74421,77675,78181,82581,84490,86584,87552
62,72833,76186,76751,81348,83368,85593,86690
63,71157,74600,75236,80024,82169,84521,85766
64,69396,72920,73631,78609,80887,83368,84777
65,67555,71147,71933,77107,79519,82131,83720
66,65634,69281,70139,75520,78066,80812,82585
67,63626,67322,68246,73846,76531,79406,81364
68,61518,65267,66254,72082,74907,77903,80052
69,59305,63112,64166,70218,73186,76290,78649
70,56987,60857,61984,68248,71357,74561,77153
71,54565,58505,59715,66165,69411,72722,75563
72,52041,56058,57360,63972,67344,70777,73865
73,49416,53519,54913,61673,65154,68721,72043
74,46699,50888,52363,59279,62852,66545,70090
75,43903,48170,49705,56799,60449,64244,68006
76,41042,45376,46946,54239,57955,61823,65792
77,38133,42519,44101,51599,55373,59296,63449
78,35191,39599,41192,48878,52704,56661,60970
79,32242,36616,38245,46071,49943,53911,58343
80,29313,33576,35285,43180,47084,51037,55562
81,26429,30484,32323,40280,44129,48034,52644
82,23611,27369,29375,37172,41091,44907,49607
83,20882,24291,26469,34095,37994,41668,46454
84,18265,21329,23638,31012,34876,38340,43176
85,15785,18542,20908,27960,31770,34959,39797
86,13467,15876,18282,24961,28687,31577,36341
87,11330,13365,15769,22038,25638,28233,32823
88,9391,11045,13407,19235,22658,24969,29284
89,7661,8943,11240,16598,19783,21825,25774
90,6144,7080,9297,14154,17046,18839,22347
91,4838,5472,7577,11908,14466,16045,19062
92,3737,4126,6070,9863,12066,13471,15971
93,2827,3034,4773,8032,9884,11140,13123
94,2092,2176,3682,6424,7951,9065,10557